d,g(d),percent_of_total
1,2860,0.003289273174137112
2,16067,0.01847858464645489
3,45749,0.052615719735524036
4,105120,0.12089804058227036
5,195014,0.2242847268465646
6,309225,0.35563828575963236
7,430139,0.4947009349126445
8,550468,0.6330907781891286
9,652204,0.7500968955471752
10,723535,0.8321343587584948
11,771136,0.8868800553886
12,800998,0.921224207670447
13,818326,0.9411530627618624
14,827471,0.9516706862504931
15,832233,0.957147441094983
16,834270,0.9594901856599191
17,835146,0.960497669331438